ESIB Bajaj Finserve1 [CR].pdf,espiritosantoib,NO,Bajaj Finserv Ltd.,Rs868.00,Buy,Bajaj Finserv;Bajaj Finserv;Bajaj Finserv;Bajaj Finserv;Santosh Singh
EY-Tax-Alert-key-proposals-of-the-Direct-Taxes-Code-2010%20.pdf,Others,NO,None,NA,NA,NA
EY-india-cost-of-capital-a-survey.pdf,Others,NO,None,NA,NA,NA
Earnings-Presentation-Q3-2013-14.pdf,Others,NO,None,NA,NA,NA
Edelweiss Investment Banking_BFSI Newsletter (December  2015).pdf,Others,NO,None,NA,NA,NA
Elgi Equipments_IC_Spark Capital_23.03.2015 [CR].pdf,sparkcapital,NO,Elgi Equipments Ltd.,,,Elgi;Belair;Patton;Belair
Embracing Innovation Driving Growth Across Healthcare Continuum_Medcon_2017.pdf,Others,NO,None,NA,NA,NA
Emkay  Chambal Fertilisers Q2FY17 Result Update-074044 [CR].pdf,emkayglobal,NO,Chambal Fertilisers & Chemicals Ltd.,78,ACCUMULATE,Rohan Gupta;Pratik Tholiya
Enam  - India Strategy - A Presentat.pdf,Others,NO,None,NA,NA,NA
Enam_Q3_FY11 [CR].pdf,enam,NO,Vascon Engineers Ltd.,150.0,BUY,Nitin Idnani;Kunal Lakhan
Equirus_Securities_PGHH_Update_Note_15.03.2016 [CR].pdf,equirus,NO,Procter & Gamble Hygiene & Health Care Ltd.,6937,,Ultra
Escorts Ltd -Quarter ending March 2014 - Result Update - Accumulate.pdf,Others,NO,None,NA,NA,NA
Exide_2QFY16 Results Review [CR].pdf,sparkcapital,NO,Exide Industries Ltd.,155,,Amara Raja;Amara Raja;Amara;MUKESH SARAF;RAMAKRISHNAN;Steele
Exide_4QFY16 Results Review Final [CR].pdf,sparkcapital,NO,Exide Industries Ltd.,142,,Amara Raja;Amara Raja;Amara
FCH_AR_FINAL-2010-11.pdf,Others,NO,None,NA,NA,NA
FCSA_Acc_report.pdf,Others,NO,None,NA,NA,NA
FEMANotif_form.pdf,Others,NO,None,NA,NA,NA
FIEM Industries - IC - Centrum - 27.03.14 [CR].pdf,centrum,NO,Fiem Industries Ltd.,Rs545,BUY,Yang
FRC_Study_ETF_Executive%20Summary.pdf,Others,NO,None,NA,NA,NA
Family Office Network by Mark Drucker.pdf,Others,NO,None,NA,NA,NA
Finolex Cables Ltd - AGM points _28-06-13_.pdf,Others,NO,None,NA,NA,NA
Finolex Q3FY19-Presentation.pdf,Others,NO,None,NA,NA,NA
Finolex%20Industries%20Presentation.pdf,Others,NO,None,NA,NA,NA
FoE-20180208-MOSL-ES-PG006.pdf,Others,NO,None,NA,NA,NA
FromAnecdotetoAssessment.pdf,Others,NO,None,NA,NA,NA
Full Report of Future of Mobile Value Added Services (VAS) in India.pdf,Others,NO,None,NA,NA,NA
GC14-4811_2.pdf,Others,NO,None,NA,NA,NA
GC14-4880_2.pdf,Others,NO,None,NA,NA,NA
GC14-4907_2.pdf,Others,NO,None,NA,NA,NA
GIC Housing Finance - Company Update - Centrum 20022014.pdf.qk6z28q [CR].pdf,centrum,NO,GIC Housing Finance Ltd.,Rs150,Buy,Aalok Shah
GMO_QtlyLetter_2Q14.pdf,Others,NO,None,NA,NA,NA
GRUH_Profile_June_2014.pdf,Others,NO,None,NA,NA,NA
GS- Titan Industries (TITN.BO) err In line with expectations Higher margins offset lower Tanishq sales [CR].pdf,gs,NO,,298.00,Neutral,Puneet Jain
GST_-_PROPITIOUS_WINDS_OF_CHANGE-DEC-15-EDEL.pdf,Others,NO,None,NA,NA,NA
GUJGA-20180511-MOSL-RU-PG008 [CR].pdf,MotilalOswal,NO,Gujarat Gas Ltd.,INR1122,,NA
Global Economic Outlook 2014_Dec 2013.pdf,Others,NO,None,NA,NA,NA
Global Logistics.pdf,Others,NO,None,NA,NA,NA
GlobalDirectory.pdf,Others,NO,None,NA,NA,NA
Godrej Consumer products [CR].pdf,MotilalOswal,NO,Godrej Consumer Products Ltd.,,Buy,Dalip Sehgal;Sehgal;Lux;Godrej Sara Lee;Godrej Sara Lee;Sara Lee;Godrej Sara Lee
Goodyear+India+-+Stock+Note [CR].pdf,hdfcsec,NO,Goodyear India Ltd.,402.,Hold,GIL;GIL;GIL;GIL
Granules_-_2QFY18_-_HDFC_sec [CR].pdf,hdfcsec,NO,Granules India Ltd.,170,BUY,Amey Chalke;Windlas
Greed and Fear - Shifting consensus.pdf,Others,NO,None,NA,NA,NA
GujaratAmbujaExportsLtd (2).pdf,Others,NO,None,NA,NA,NA
Gujarat_Fluorochemicals_Ltd_100315.pdf,Others,NO,None,NA,NA,NA
H016615261.pdf,Others,NO,None,NA,NA,NA
HDFC 1QFY16 Outlook [CR].pdf,sparkcapital,NO,Housing Development Finance Corporation Ltd.,1172,SELL,Talay
HDFC Sec-eRr Reports-D B Corp-Buy-Add on Dips to band-Target 460-500-Time Horizon-1 Year [CR].pdf,hdfcsec,NO,DB Corp Ltd.,460,Add,Dainik Bhaskar;Divya Bhaskar;Il;Krinal Shah;Nisha Sankhala
HDFC Sec_Banks & NBFC Sector_Q1FY17 Preview_08072016.pdf,Others,NO,None,NA,NA,NA
HDFC Securities 16-May-16 [CR].pdf,hdfcsec,NO,,Rs.129,Buy,Vasai;Rayjasthan;Veto;Qompton Greaves
HDFC sec- Cyient (4QFY17)-errclub- Good show  priced in. Maintain NEUTRAL [CR].pdf,hdfcsec,NO,Cyient Ltd.,540,NEUTRAL,Amit Chandra
